ProblemId,Map,Episode,Iteration,Action,Done,Reward,CumulativeReward,PrevLocationX,PrevLocationY,NewLocationX,NewLocationY
3,8x8-base,1,1,right,False,0.0,0,0,3,0,4
3,8x8-base,1,2,right,False,0.0,0,0,4,0,4
3,8x8-base,1,3,left,False,0.0,0,0,4,0,4
3,8x8-base,1,4,left,False,0.0,0,0,4,0,4
3,8x8-base,1,5,right,False,0.0,0,0,4,0,4
3,8x8-base,1,6,right,False,0.0,0,0,4,0,4
3,8x8-base,1,7,left,False,0.0,0,0,4,0,4
3,8x8-base,1,8,down,False,0.0,0,0,4,0,3
3,8x8-base,1,9,left,False,0.0,0,0,3,0,3
3,8x8-base,1,10,right,False,0.0,0,0,3,1,3
3,8x8-base,1,11,left,False,0.0,0,1,3,1,2
3,8x8-base,1,12,right,False,0.0,0,1,2,2,2
3,8x8-base,1,13,right,False,0.0,0,2,2,1,2
3,8x8-base,1,14,up,False,0.0,0,1,2,1,3
3,8x8-base,1,15,left,True,0.0,0,1,3,2,3
3,8x8-base,2,1,left,False,0.0,0,0,3,0,2
3,8x8-base,2,2,up,False,0.0,0,0,2,0,2
3,8x8-base,2,3,right,False,0.0,0,0,2,0,3
3,8x8-base,2,4,down,False,0.0,0,0,3,1,3
3,8x8-base,2,5,right,False,0.0,0,1,3,1,4
3,8x8-base,2,6,down,False,0.0,0,1,4,2,4
3,8x8-base,2,7,up,True,0.0,0,2,4,2,3
3,8x8-base,3,1,up,False,0.0,0,0,3,0,4
3,8x8-base,3,2,down,False,0.0,0,0,4,1,4
3,8x8-base,3,3,left,False,0.0,0,1,4,0,4
3,8x8-base,3,4,up,False,0.0,0,0,4,0,3
3,8x8-base,3,5,left,False,0.0,0,0,3,0,3
3,8x8-base,3,6,right,False,0.0,0,0,3,1,3
3,8x8-base,3,7,right,False,0.0,0,1,3,0,3
3,8x8-base,3,8,down,False,0.0,0,0,3,0,2
3,8x8-base,3,9,down,False,0.0,0,0,2,0,1
3,8x8-base,3,10,up,True,0.0,0,0,1,0,0
3,8x8-base,4,1,left,False,0.0,0,0,3,1,3
3,8x8-base,4,2,down,False,0.0,0,1,3,1,2
3,8x8-base,4,3,right,False,0.0,0,1,2,2,2
3,8x8-base,4,4,down,False,0.0,0,2,2,2,1
3,8x8-base,4,5,right,False,0.0,0,2,1,2,2
3,8x8-base,4,6,right,False,0.0,0,2,2,1,2
3,8x8-base,4,7,up,False,0.0,0,1,2,1,1
3,8x8-base,4,8,left,False,0.0,0,1,1,1,0
3,8x8-base,4,9,right,False,0.0,0,1,0,1,1
3,8x8-base,4,10,up,False,0.0,0,1,1,1,2
3,8x8-base,4,11,up,False,0.0,0,1,2,0,2
3,8x8-base,4,12,down,False,0.0,0,0,2,0,3
3,8x8-base,4,13,down,False,0.0,0,0,3,0,2
3,8x8-base,4,14,right,False,0.0,0,0,2,0,3
3,8x8-base,4,15,up,False,0.0,0,0,3,0,2
3,8x8-base,4,16,down,False,0.0,0,0,2,1,2
3,8x8-base,4,17,up,False,0.0,0,1,2,0,2
3,8x8-base,4,18,down,False,0.0,0,0,2,0,1
3,8x8-base,4,19,left,True,0.0,0,0,1,0,0
3,8x8-base,5,1,down,False,0.0,0,0,3,0,4
3,8x8-base,5,2,up,False,0.0,0,0,4,0,3
3,8x8-base,5,3,right,False,0.0,0,0,3,0,3
3,8x8-base,5,4,right,False,0.0,0,0,3,0,3
3,8x8-base,5,5,down,False,0.0,0,0,3,1,3
3,8x8-base,5,6,left,True,0.0,0,1,3,2,3
3,8x8-base,6,1,down,False,0.0,0,0,3,1,3
3,8x8-base,6,2,down,False,0.0,0,1,3,1,4
